code,std_code,name,group
005440,KR7005440003,현대지에프홀딩스,ST
005490,KR7005490008,POSCO홀딩스,ST
005500,KR7005500004,삼진제약,ST
005610,KR7005610001,삼립,ST
005680,KR7005680004,삼영전자,ST
005690,KR7005690003,파미셀,ST
005720,KR7005720008,넥센,ST
005725,KR7005721006,넥센우,ST
005740,KR7005740006,크라운해태홀딩스,ST
005745,KR7005741004,크라운해태홀딩스우,ST
005750,KR7005750005,대림바스,ST
0057H0,KR70057H0007,PLUS 미국S&P500미국채혼합50액티브,EF
005800,KR7005800008,신영와코루,ST
005810,KR7005810007,풍산홀딩스,ST
005820,KR7005820006,원림,ST
005830,KR7005830005,DB손해보험,ST
005850,KR7005850003,에스엘,ST
005870,KR7005870001,휴니드,ST
005880,KR7005880000,대한해운,ST
005930,KR7005930003,삼성전자,ST
005935,KR7005931001,삼성전자우,ST
005940,KR7005940002,NH투자증권,ST
005945,KR7005941000,NH투자증권우,ST
005950,KR7005950001,이수화학,ST
005960,KR7005960000,동부건설,ST
005965,KR7005961008,동부건설우,ST
006040,KR7006040000,동원산업,ST
006060,KR7006060008,화승인더,ST
006090,KR7006090005,사조오양,ST
0060H0,KR70060H0002,TIGER 토탈월드스탁액티브,EF
006110,KR7006110001,삼아알미늄,ST
006120,KR7006120000,SK디스커버리,ST
006125,KR7006121008,SK디스커버리우,ST
0061Z0,KR70061Z0009,RISE 단기특수은행채액티브,EF
006200,KR7006200000,한국전자홀딩스,ST
006220,KR7006220008,제주은행,ST
006260,KR7006260004,LS,ST
006280,KR7006280002,녹십자,ST
006340,KR7006340004,대원전선,ST
006345,KR7006341002,대원전선우,ST
006360,KR7006360002,GS건설,ST
006370,KR7006370001,대구백화점,ST
006380,KR7006380000,카프로,ST
006400,KR7006400006,삼성SDI,ST
006405,KR7006401004,삼성SDI우,ST
006490,KR7006490007,프리티,ST
0064K0,KR70064K0003,KODEX 금액티브,EF
006570,KR7006570006,대림통상,ST
0065G0,KR70065G0008,KODEX 차이나테크TOP10,EF
006650,KR7006650006,대한유화,ST
006660,KR7006660005,삼성공조,ST
0066W0,KR70066W0007,SOL 국제금,EF
006740,KR7006740005,블루산업개발,ST
0067V0,KR70067V0007,TIGER 차이나글로벌리더스TOP3+,EF
0067Y0,KR70067Y0004,TIGER 차이나AI소프트웨어,EF
006800,KR7006800007,미래에셋증권,ST
006805,KR7006801005,미래에셋증권우,ST
00680K,KR700680K019,미래에셋증권2우B,ST
006840,KR7006840003,AK홀딩스,ST
006880,KR7006880009,신송홀딩스,ST
006890,KR7006890008,태경케미컬,ST
0068M0,KR70068M0007,KODEX 미국S&P500버퍼6월액티브,EF
006980,KR7006980007,우성,ST
0069M0,KR70069M0006,1Q 미국나스닥100,EF
007070,KR7007070006,GS리테일,ST
007110,KR7007110000,일신석재,ST
007120,KR7007120009,미래아이앤지,ST
007160,KR7007160005,사조산업,ST
007210,KR7007210008,벽산,ST
007280,KR7007280001,한국특강,ST
0072R0,KR70072R0006,TIGER KRX금현물,EF
007310,KR7007310006,오뚜기,ST
007340,KR7007340003,DN오토모티브,ST
0073X0,KR70073X0007,FOCUS 알리바바미국채커버드콜혼합,EF
007460,KR7007460009,에이프로젠,ST
0074K0,KR70074K0001,KoAct K수출핵심기업TOP30액티브,EF
007540,KR7007540008,샘표,ST
007570,KR7007570005,일양약품,ST
007575,KR7007571003,일양약품우,ST
007590,KR7007590003,동방아그로,ST
007610,KR7007610009,선도전기,ST
007660,KR7007660004,이수페타시스,ST
007690,KR7007690001,국도화학,ST
007700,KR7007700008,F&F홀딩스,ST
007810,KR7007810005,코리아써키트,ST
007815,KR7007811003,코리아써우,ST
00781K,KR700781K015,코리아써키트2우B,ST
007860,KR7007860000,서연,ST
0078V0,KR70078V0004,PLUS 미국로보택시,EF
007980,KR7007980006,TP,ST
0079X0,KR70079X0001,ACE BYD밸류체인액티브,EF
008040,KR7008040008,사조동아원,ST
008060,KR7008060006,대덕,ST
00806K,KR700806K010,대덕1우,ST
0080G0,KR70080G0009,KODEX 방산TOP10,EF
0080X0,KR70080X0008,SOL 미국S&P500미국채혼합50,EF
0080Y0,KR70080Y0007,SOL 조선TOP3플러스레버리지,EF
008250,KR7008250003,이건산업,ST
008260,KR7008260002,NI스틸,ST
0082F0,KR70082F0008,HANARO 유럽방산,EF
0082V0,KR70082V0008,KODEX TDF2060액티브 적격,EF
008350,KR7008350001,남선알미늄,ST
008355,KR7008351009,남선알미우,ST
0083S0,KR70083S0002,1Q 미국메디컬AI,EF
008420,KR7008420002,문배철강,ST
008490,KR7008490005,서흥,ST
0084D0,KR70084D0008,KIWOOM 미국테크100월간목표헤지액티브,EF
0084E0,KR70084E0007,KIWOOM 미국대형주500월간목표헤지액티브,EF
008500,KR7008500001,일정실업,ST
0085N0,KR70085N0005,ACE 미국10년국채액티브(H),EF
0085P0,KR70085P0003,ACE 미국10년국채액티브,EF
008600,KR7008600009,윌비스,ST
0086B0,KR70086B0008,TIGER 리츠부동산인프라TOP10액티브,EF
0086C0,KR70086C0007,TIGER 리츠부동산인프라10채권혼합액티브,EF
008700,KR7008700007,아남전자,ST
008730,KR7008730004,율촌화학,ST
008770,KR7008770000,호텔신라,ST
008775,KR7008771008,호텔신라우,ST
0087F0,KR70087F0003,ACE 차이나AI빅테크TOP2+액티브,EF
008870,KR7008870008,금비,ST
0088N0,KR70088N0002,WON K-글로벌수급상위,EF
008930,KR7008930000,한미사이언스,ST
008970,KR7008970006,KBI동양철관,ST
0089B0,KR70089B0005,PLUS 미국나스닥100미국채혼합50,EF
0089C0,KR70089C0004,KODEX 미국S&P500변동성확대시커버드콜,EF
0089D0,KR70089D0003,KODEX 금융고배당TOP10,EF
009070,KR7009070004,KCTC,ST
0090B0,KR70090B0002,PLUS K방산소부장,EF
009140,KR7009140005,경인전자,ST
009150,KR7009150004,삼성전기,ST
009155,KR7009151002,삼성전기우,ST
009160,KR7009160003,SIMPAC,ST
009180,KR7009180001,한솔로지스틱스,ST
009190,KR7009190000,대양금속,ST
0091C0,KR70091C0000,KODEX 미국10년국채액티브(H),EF
0091M0,KR70091M0008,HANARO 27-06 회사채(AA-이상)액티브,EF
0091P0,KR70091P0005,TIGER 코리아원자력,EF
009200,KR7009200007,무림페이퍼,ST
009240,KR7009240003,한샘,ST
009270,KR7009270000,신원,ST
009290,KR7009290008,광동제약,ST
0092B0,KR70092B0000,SOL 한국원자력SMR,EF
0092C0,KR70092C0009,SOL 27-12 회사채(AA-이상)액티브,EF
009310,KR7009310004,참엔지니어링,ST
009320,KR7009320003,아진전자부품,ST
0093A0,KR70093A0000,RISE AI반도체TOP10,EF
0093B0,KR70093B0009,RISE 엔비디아고정테크100,EF
0093D0,KR70093D0007,KoAct 팔란티어밸류체인액티브,EF
009410,KR7009410002,태영건설,ST
009415,KR7009411000,태영건설우,ST
009420,KR7009420001,한올바이오파마,ST
009440,KR7009440009,KC그린홀딩스,ST
009450,KR7009450008,경동나비엔,ST
009460,KR7009460007,한창제지,ST
009470,KR7009470006,삼화전기,ST
0094K0,KR70094K0007,TIGER 28-04 회사채(A+이상)액티브,EF
0094L0,KR70094L0006,RISE 차이나테크TOP10위클리타겟커버드콜,EF
0094M0,KR70094M0005,RISE 코리아밸류업위클리고정커버드콜,EF
0094X0,KR70094X0002,1Q 샤오미밸류체인액티브,EF
009540,KR7009540006,HD한국조선해양,ST
009580,KR7009580002,무림P&P,ST
009680,KR7009680000,모토닉,ST
009770,KR7009770009,삼정펄프,ST
0097L0,KR70097L0003,KIWOOM 한국고배당&미국AI테크,EF
009810,KR7009810003,플레이그램,ST
009830,KR7009830001,한화솔루션,ST
009835,KR7009831009,한화솔루션우,ST
0098F0,KR70098F0000,KODEX 원자력SMR,EF
0098N0,KR70098N0000,PLUS 자사주매입고배당주,EF
0098Z0,KR70098Z0006,FOCUS 200,EF
009900,KR7009900002,명신산업,ST
009970,KR7009970005,영원무역홀딩스,ST
0099L0,KR70099L0001,ACE 우량회사채(AA-이상)액티브,EF
010040,KR7010040004,한국내화,ST
010060,KR7010060002,OCI홀딩스,ST
