code,name,group_code,market
237750,피앤씨테크,ST,Q
237820,플레이디,ST,Q
237880,클리오,ST,Q
238090,앤디포스,ST,Q
238120,얼라인드,ST,Q
238200,비피도,ST,Q
238490,힘스,ST,Q
238670,PLUS 스마트베타Quality채권혼합,EF,K
238720,ACE 일본Nikkei225(H),EF,K
239340,이스트에이드,ST,Q
239610,에이치엘사이언스,ST,Q
239660,PLUS 우량회사채50,EF,K
239890,피엔에이치테크,ST,Q
240550,동방메디컬,ST,Q
240600,유진테크놀로지,ST,Q
240810,원익IPS,ST,Q
241180,TIGER 일본니케이225,EF,K
241390,RISE V&S셀렉트밸류채권혼합,EF,K
241520,DSC인베스트먼트,ST,Q
241560,두산밥캣,ST,K
241590,화승엔터프라이즈,ST,K
241690,유니테크노,ST,Q
241710,코스메카코리아,ST,Q
241770,메카로,ST,Q
241790,티이엠씨씨엔에스,ST,Q
241820,피씨엘,ST,Q
241840,에이스토리,ST,Q
242040,나무기술,ST,Q
243070,휴온스,ST,Q
243840,신흥에스이씨,ST,Q
243880,TIGER 200IT레버리지,EF,K
243890,TIGER 200에너지화학레버리지,EF,K
244460,올리패스,ST,Q
244580,KODEX 바이오,EF,K
244620,KODEX 모멘텀Plus,EF,K
244660,KODEX 퀄리티Plus,EF,K
244670,KODEX 밸류Plus,EF,K
244920,에이플러스에셋,ST,K
245340,TIGER 미국다우존스30,EF,K
245350,TIGER 유로스탁스배당30,EF,K
245360,TIGER 차이나HSCEI,EF,K
245620,EDGC,ST,Q
245710,ACE 베트남VN30(합성),EF,K
246250,에스엘에스바이오,ST,Q
246690,TS인베스트먼트,ST,Q
246710,티앤알바이오팹,ST,Q
246720,아스타,ST,Q
246960,SCL사이언스,ST,Q
247540,에코프로비엠,ST,Q
247660,나노씨엠에스,ST,Q
248070,솔루엠,ST,K
248170,샘표식품,ST,K
248270,TIGER S&P글로벌헬스케어(합성),EF,K
249420,일동제약,ST,K
250000,보라티알,ST,Q
250060,모비스,ST,Q
250730,RISE 차이나HSCEI(H),EF,K
250780,TIGER 코스닥150선물인버스,EF,K
250930,예선테크,ST,Q
251120,바이오에프디엔씨,ST,Q
251270,넷마블,ST,K
251340,KODEX 코스닥150선물인버스,EF,K
251350,KODEX MSCI선진국,EF,K
251370,와이엠티,ST,Q
251590,PLUS 고배당저변동50,EF,K
251600,PLUS 고배당주채권혼합,EF,K
251630,브이원텍,ST,Q
251970,펌텍코리아,ST,Q
252000,TIGER 200동일가중,EF,K
252400,RISE 200선물레버리지,EF,K
252410,RISE 200선물인버스,EF,K
252420,RISE 200선물인버스2X,EF,K
252500,세화피앤씨,ST,Q
252650,KODEX 200동일가중,EF,K
252670,KODEX 200선물인버스2X,EF,K
252710,TIGER 200선물인버스2X,EF,K
252990,샘씨엔에스,ST,Q
253150,PLUS 200선물레버리지,EF,K
253160,PLUS 200선물인버스2X,EF,K
253230,KIWOOM 200선물인버스2X,EF,K
253240,KIWOOM 200선물인버스,EF,K
253250,KIWOOM 200선물레버리지,EF,K
253280,RISE 헬스케어,EF,K
253290,RISE 헬스케어채권혼합,EF,K
253450,스튜디오드래곤,ST,Q
253590,네오셈,ST,Q
253840,수젠텍,ST,Q
254120,자비스,ST,Q
254490,미래반도체,ST,Q
255220,SG,ST,Q
255440,야스,ST,Q
256150,한독크린텍,ST,Q
256440,ACE MSCI인도네시아(합성),EF,K
256450,PLUS 심천차이넥스트(합성),EF,K
256630,포인트엔지니어링,ST,Q
256750,KODEX 차이나심천ChiNext(합성),EF,K
256840,한국비엔씨,ST,Q
256940,킵스파마,ST,Q
257370,피엔티엠에스,ST,Q
257720,실리콘투,ST,Q
258610,케일럼,ST,Q
258790,소프트캠프,ST,Q
258830,세종메디칼,ST,Q
259630,엠플러스,ST,Q
259960,크래프톤,ST,K
260660,알리코제약,ST,Q
260930,씨티케이,ST,Q
260970,에스앤디,ST,Q
261060,TIGER 코스닥150IT,EF,K
261070,TIGER 코스닥150바이오테크,EF,K
261110,TIGER 미국달러선물레버리지,EF,K
261120,TIGER 미국달러선물인버스2X,EF,K
261140,TIGER 우선주,EF,K
261200,덴티스,ST,Q
261220,KODEX WTI원유선물(H),EF,K
261240,KODEX 미국달러선물,EF,K
261250,KODEX 미국달러선물레버리지,EF,K
261260,KODEX 미국달러선물인버스2X,EF,K
261270,KODEX 미국달러선물인버스,EF,K
